ID,Name,Type,Rarity,Path,Dimensions,Compression,MemoryEstimateKB,Dependencies
"51","Archer Queen","CardData","Champion","Assets/Resources/Data/Cards/Card_051_Archer_Queen.asset","N/A","N/A",1,"spine_archer_queen,sprite_archer_queen,portrait_archer_queen"
"120","Archer Queen","CardData","Champion","Assets/Resources/Data/Cards/Card_120_Archer_Queen.asset","N/A","N/A",1,"spine_archer_queen,sprite_archer_queen,portrait_archer_queen"
"90","Archers","CardData","Common","Assets/Resources/Data/Cards/Card_090_Archers.asset","N/A","N/A",1,"spine_archers,sprite_archers,portrait_archers"
"58","Arrows","CardData","Common","Assets/Resources/Data/Cards/Card_058_Arrows.asset","N/A","N/A",1,"spine_arrows,sprite_arrows,portrait_arrows"
"114","Arrows","CardData","Common","Assets/Resources/Data/Cards/Card_114_Arrows.asset","N/A","N/A",1,"spine_arrows,sprite_arrows,portrait_arrows"
"19","Baby Dragon","CardData","Epic","Assets/Resources/Data/Cards/Card_019_Baby_Dragon.asset","N/A","N/A",1,"spine_baby_dragon,sprite_baby_dragon,portrait_baby_dragon"
"24","Balloon","CardData","Epic","Assets/Resources/Data/Cards/Card_024_Balloon.asset","N/A","N/A",1,"spine_balloon,sprite_balloon,portrait_balloon"
"18","Bandit","CardData","Legendary","Assets/Resources/Data/Cards/Card_018_Bandit.asset","N/A","N/A",1,"spine_bandit,sprite_bandit,portrait_bandit"
"61","Barbarian Barrel","CardData","Common","Assets/Resources/Data/Cards/Card_061_Barbarian_Barrel.asset","N/A","N/A",1,"spine_barbarian_barrel,sprite_barbarian_barrel,portrait_barbarian_barrel"
"111","Barbarian Barrel","CardData","Common","Assets/Resources/Data/Cards/Card_111_Barbarian_Barrel.asset","N/A","N/A",1,"spine_barbarian_barrel,sprite_barbarian_barrel,portrait_barbarian_barrel"
"56","Barbarians","CardData","Common","Assets/Resources/Data/Cards/Card_056_Barbarians.asset","N/A","N/A",1,"spine_barbarians,sprite_barbarians,portrait_barbarians"
"82","Bats","CardData","Common","Assets/Resources/Data/Cards/Card_082_Bats.asset","N/A","N/A",1,"spine_bats,sprite_bats,portrait_bats"
"108","Bats","CardData","Common","Assets/Resources/Data/Cards/Card_108_Bats.asset","N/A","N/A",1,"spine_bats,sprite_bats,portrait_bats"
"80","Battle Ram","CardData","Common","Assets/Resources/Data/Cards/Card_080_Battle_Ram.asset","N/A","N/A",1,"spine_battle_ram,sprite_battle_ram,portrait_battle_ram"
"110","Battle Ram","CardData","Common","Assets/Resources/Data/Cards/Card_110_Battle_Ram.asset","N/A","N/A",1,"spine_battle_ram,sprite_battle_ram,portrait_battle_ram"
